0,1,2,3,4,5,6,7,8,9,10
const,2021,April 04,Moto3,Losail International Circuit,RACE,,,,,
rider,Pedro,ACOSTA,Red,Bull,KTM,Ajo,SPA,1st,37,
lap,1,2'25.581,47.032,31.579,30.298,36.672,140.2,,,
lap,2,2'06.783,28.018,31.521,30.429,36.815,220.4,,,
lap,3,2'06.838,28.139,31.839,30.348,36.512,224.0,,,
lap,4,2'06.764,27.974,31.721,30.526,36.543,224.5,,,
lap,5,2'06.419,27.915,31.625,30.376,36.503,226.8,,,
lap,6,2'06.324,27.947,31.689,30.448,36.240,225.4,,,
lap,7,2'06.744,27.877,31.716,30.433,36.718*,233.2,,,
lap,8,2'06.911,27.953,31.891,30.391,36.676,229.2,,,
lap,9,2'06.857,27.895,31.695,30.526,36.741,224.5,,,
lap,10,2'06.439,27.919,31.595,30.367,36.558,227.3,,,
lap,11,2'06.317,27.822,31.789,30.287,36.419,230.2,,,
lap,12,2'07.329,27.740,33.008,30.429,36.152,233.2,,,
lap,13,2'07.363,28.007,32.421,30.511,36.424,233.2,,,
lap,14,2'07.974,28.222,32.697,30.583,36.472,236.8,,,
lap,15,2'07.260,27.992,32.106,30.577,36.585,236.3,,,
lap,16,2'06.512,28.087,32.141,30.167,36.117,236.3,,,
lap,17,2'07.286,27.968,31.997,30.487,36.834,233.2,,,
lap,18,2'06.729,27.889,31.506,30.547,36.787,224.0,,,
rider,Darryn,BINDER,Petronas,Sprinta,Raci,RSA,2nd,40,,
lap,1,2'14.388,35.035,31.861,30.559,36.933,152.9,,,
lap,2,2'07.841,28.484,32.051,30.482,36.824,219.0,,,
lap,3,2'07.167,28.060,31.709,30.569,36.829,228.3,,,
lap,4,2'07.789,28.375,32.251,30.590,36.573,219.0,,,
lap,5,2'06.686,28.187,31.716,30.344,36.439,225.0,,,
lap,6,2'08.025,28.162,31.926,30.864,37.073,227.8,,,
lap,7,2'07.225,28.375,31.962,30.572,36.316,224.0,,,
lap,8,2'06.702,27.860,32.305,30.276,36.261,228.8,,,
lap,9,2'07.823,27.985,31.986,30.805,37.047,231.7,,,
lap,10,2'07.705,28.298,32.075,30.382,36.950,221.7,,,
lap,11,2'09.060,29.341,32.699,30.594,36.426,215.1,,,
lap,12,2'07.900,28.294,32.154,30.620,36.832,229.2,,,
lap,13,2'07.656,28.153,32.198,30.734,36.571,232.2,,,
lap,14,2'07.869,28.299,32.574,30.445,36.551,220.8,,,
lap,15,2'07.777,28.464,31.923,30.677,36.713,232.2,,,
lap,16,2'06.717,28.265,31.787,30.367,36.298,224.5,,,
lap,17,2'07.399,27.984,31.965,30.705,36.745,227.8,,,
lap,18,2'06.740,28.088,31.681,30.465,36.506,224.0,,,
rider,Niccolò,ANTONELL,Avintia,Esponsorama,ITA,3rd,23,,,
lap,1,2'14.594,35.532,32.315,30.360,36.387,160.0,,,
lap,2,2'07.764,28.549,32.104,30.586,36.525,227.3,,,
lap,3,2'07.230,28.258,32.143,30.568,36.261,229.2,,,
lap,4,2'07.655,28.281,32.235,30.721,36.418,229.2,,,
lap,5,2'07.127,28.439,32.186,30.360,36.142,230.7,,,
lap,6,2'07.860,28.114,32.279,30.641,36.826,232.2,,,
lap,7,2'08.334,28.422,33.114,30.553,36.245,230.7,,,
lap,8,2'06.698,28.061,31.898,30.422,36.317,229.7,,,
lap,9,2'07.204,27.933,32.206,30.625,36.440,233.7,,,
lap,10,2'07.710,28.624,32.365,30.595,36.126*,232.7,,,
lap,11,2'08.400,28.445,32.855,30.806,36.294,231.7,,,
lap,12,2'08.057,28.750,32.472,30.555,36.280,234.7,,,
lap,13,2'07.629,28.290,32.378,30.656,36.305,230.7,,,
lap,14,2'08.073,28.245,32.520,30.844,36.464,232.7,,,
lap,15,2'07.682,28.214,32.453,30.506,36.509,235.2,,,
lap,16,2'07.188,28.107,32.389,30.494,36.198,234.7,,,
lap,17,2'06.589,28.105,31.822,30.296,36.366,228.8,,,
lap,18,2'07.118,28.315,32.001,30.420,36.382,220.8,,,
rider,Andrea,MIGNO,Rivacold,Snipers,Tea,ITA,4th,16,,
lap,1,2'14.487,35.370,32.212,30.360,36.545,150.0,,,
lap,2,2'07.931,28.728,31.922,30.612,36.669,222.6,,,
lap,3,2'07.400,28.435,32.054,30.589,36.322,229.2,,,
lap,4,2'07.424,28.224,32.303,30.622,36.275,233.7,,,
lap,5,2'06.609,27.930,31.658,30.397,36.624,230.2,,,
lap,6,2'07.984,28.229,31.980,30.931,36.844,225.0,,,
lap,7,2'06.826,28.066,31.684,30.473,36.603,226.8,,,
lap,8,2'06.954,28.133,31.691,30.460,36.670,224.5,,,
lap,9,2'08.383,28.452,32.059,30.937,36.935,222.6,,,
lap,10,2'07.576,28.424,32.348,30.397,36.407,225.9,,,
lap,11,2'08.620,28.519,32.562,30.657,36.882,225.4,,,
lap,12,2'07.733,28.206,31.885,30.757,36.885,226.8,,,
lap,13,2'07.936,28.300,32.236,30.693,36.707,225.0,,,
lap,14,2'07.929,28.244,32.365,30.619,36.701,227.8,,,
lap,15,2'07.833,28.470,32.105,30.675,36.583,222.6,,,
