0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2021,April 04,Moto3,Losail International Circuit,WUP,,,,,,,,
rider,Jaume,MASIA,Red,Bull,KTM,Ajo,SPA,1st,5,Total,laps=9,laps=7,
lap,1,4'02.372,33.833,32.905,30.933,36.849*,128.2,,,,,,
lap,2,2'07.036,28.120,31.904,30.481,36.531,225.4,,,,,,
lap,3,2'07.148,28.192,31.891,30.530,36.535,228.8,,,,,,
lap,4,2'07.191,28.090,31.888*,30.610,36.603,229.2,,,,,,
lap,5,2'06.482,27.982,31.863,30.331,36.306,229.2,,,,,,
lap,6,2'15.327,28.796,37.941,31.868,36.722,231.7,,,,,,
lap,7,2'06.945,28.099,31.901,30.525,36.420,226.8,,,,,,
lap,8,2'07.025,27.910,31.631,30.566,36.918,230.2,,,,,,
lap,9,2'06.955,27.980,31.824,30.520,36.631,232.7,,,,,,
rider,Andrea,MIGNO,Rivacold,Snipers,Tea,ITA,2nd,16,Total,laps=9,laps=6,,
lap,1,3'59.471,33.468,33.314,30.786,36.714,138.2,,,,,,
lap,2,2'06.832,28.152,31.751,30.566,36.363,226.8,,,,,,
lap,3,2'07.207,28.019,32.086,30.515,36.587,229.7,,,,,,
lap,4,2'07.699,28.124,32.291*,30.828,36.456,225.0,,,,,,
lap,5,2'07.891,28.600,32.376,30.483,36.432,228.3,,,,,,
lap,6,2'12.494,32.742,32.791,30.592,36.369*,229.7,,,,,,
lap,7,2'06.507,28.142,31.724,30.403,36.238,228.3,,,,,,
lap,8,2'06.520,28.029,31.692,30.363,36.436,229.2,,,,,,
lap,9,2'08.130,28.280,32.167,30.694,36.989,224.0,,,,,,
rider,Gabriel,RODRIGO,Indonesian,Racing,Gr,ARG,3rd,2,Total,laps=9,laps=4,,
lap,1,4'02.841,33.194,32.872,30.974,36.932,136.3,,,,,,
lap,2,2'07.071,27.998,31.784,30.599,36.690,226.8,,,,,,
lap,3,2'06.661,27.922,31.829,30.509,36.401,228.3,,,,,,
lap,4,2'08.314,29.071,31.780*,30.730,36.733*,229.7,,,,,,
lap,5,2'06.840,27.968,31.658,30.565,36.649,225.9,,,,,,
lap,6,2'07.522,27.909,32.136,30.645,36.832*,227.8,,,,,,
lap,7,2'07.374,28.082,31.808,30.661,36.823,222.6,,,,,,
lap,8,2'12.724,P,28.156,39.908,31.185,33.475,223.6,,,,,
lap,9,2'14.998,33.635,32.608,31.240,37.515,130.2,,,,,,
rider,Izan,GUEVARA,GASGAS,Gaviota,As,SPA,4th,28,Total,laps=3,laps=1,,
lap,1,3'58.481,33.150,32.810,30.986,36.966*,134.4,,,,,,
lap,2,2'06.711,28.049,31.944,30.482,36.236,227.3,,,,,,
lap,unfinished,28.078,232.2,,,,,,,,,,
rider,5th,40,Darryn,BINDER,Petronas,Sprinta,Raci,RSA,Total,laps=9,laps=7,,
lap,1,3'56.229,32.173,32.778,31.324,37.203,142.6,,,,,,
lap,2,2'07.956,28.259,32.240,30.672,36.785,223.6,,,,,,
lap,3,2'06.732,28.126,31.789,30.370,36.447,225.4,,,,,,
lap,4,2'08.706,28.293,32.747*,30.804,36.862,227.8,,,,,,
lap,5,2'07.757,28.163,31.942,30.668,36.984,227.8,,,,,,
lap,6,2'12.927,29.100,36.268,30.987,36.572,212.5,,,,,,
lap,7,2'07.072,28.104,31.840,30.594,36.534,229.7,,,,,,
