0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2021,April 17,Moto3,Autódromo Internacional do Algarve,FP3,,,,,,,,
rider,Andrea,MIGNO,Rivacold,Snipers,Tea,ITA,1st,16,Total,laps=15,laps=10,,
lap,1,2'42.271,30.808,36.434,17.529,35.819,,,,,,,
lap,2,1'51.152,23.794,35.361,16.673,35.324,234.7,,,,,,
lap,3,1'50.257,23.613,35.101,16.492,35.051,235.8,,,,,,
lap,4,1'49.802,23.677,34.913,16.449,34.763,235.8,,,,,,
lap,5,1'49.378,23.360,35.081,16.310,34.627,241.0,,,,,,
lap,6,1'49.378,23.352,34.704,16.258,35.064,242.1,,,,,,
lap,7,2'02.669,P,23.583,37.560,16.617,44.909,236.8,,,,,
lap,8,6'21.818,30.360,35.943,16.656,35.226,,,,,,,
lap,9,1'49.164,23.469,34.577,16.405,34.713,231.7,,,,,,
lap,10,1'48.831,23.329,34.456,16.239,34.807,233.2,,,,,,
lap,11,1'58.274,26.021,39.680,16.709,35.864,232.7,,,,,,
lap,12,2'00.154,P,25.176,35.758,16.781,42.439,233.2,,,,,
lap,13,9'17.171,29.275,35.903,16.580,34.592,,,,,,,
lap,14,1'52.736,23.181,37.161,17.870,34.524,236.3,,,,,,
lap,15,1'48.214,23.223,34.399,16.266,34.326,238.4,,,,,,
rider,Gabriel,RODRIGO,Indonesian,Racing,Gr,ARG,2nd,2,Total,laps=14,laps=8,,
lap,1,2'37.727,31.340,37.385,17.543,36.563,,,,,,,
lap,2,1'51.566,23.998,35.700,16.659,35.209,237.8,,,,,,
lap,3,1'51.097,23.845,35.665,16.602,34.985,240.0,,,,,,
lap,4,1'50.076,23.561,34.953,16.522,35.040,234.2,,,,,,
lap,5,1'49.896,23.704,34.970,16.480,34.742,236.3,,,,,,
lap,6,1'49.968,23.396,35.068,16.429,35.075,239.4,,,,,,
lap,7,2'03.211,P,23.839,37.046,16.711,45.615,231.7,,,,,
lap,8,6'27.120,34.273,35.776,16.744,36.046,,,,,,,
lap,9,1'48.822,23.320,34.668,16.240,34.594,238.4,,,,,,
lap,10,1'49.483,23.342,35.028,16.329,34.784,235.2,,,,,,
lap,11,2'02.000,P,24.593,36.387,16.581,44.439,234.2,,,,,
lap,12,11'05.628,31.109,37.753,17.815,36.616,,,,,,,
lap,13,1'48.266,23.231,34.470,16.231,34.334,232.7,,,,,,
lap,14,2'09.379,P,26.290,42.976,16.556,43.557,232.7,,,,,
rider,Jaume,MASIA,Red,Bull,KTM,Ajo,SPA,3rd,5,Total,laps=16,laps=10,
lap,1,2'04.767,30.389,37.712,17.247,36.184,,,,,,,
lap,2,1'51.629,24.040,35.606,16.686,35.297,229.7,,,,,,
lap,3,1'51.196,23.942*,35.205,16.544,35.505,231.7,,,,,,
lap,4,1'50.836,23.833,35.079,16.663,35.261,231.7,,,,,,
lap,5,1'50.781,24.036,35.346,16.542,34.857,231.2,,,,,,
lap,6,1'50.100,23.774,34.872,16.560,34.894,234.2,,,,,,
lap,7,1'50.078,23.557,35.125,16.421,34.975,233.7,,,,,,
lap,8,1'59.811,P,24.153,36.218,16.724,42.716,231.7,,,,,
lap,9,8'15.845,30.145,36.349,16.960,35.197,,,,,,,
lap,10,1'54.474,23.397,39.749,16.417,34.911,233.2,,,,,,
lap,11,1'49.231,23.498,34.744,16.450,34.539,234.2,,,,,,
lap,12,1'48.954,23.413,34.612,234.2,,,,,,,,
lap,13,1'57.112,P,23.909,35.890,16.645,40.668,234.2,,,,,
lap,14,6'17.050,29.023,35.329,16.436,34.395,,,,,,,
lap,15,1'48.321,23.140,34.467,16.176,34.538,237.8,,,,,,
lap,16,1'52.904,23.259,38.217,16.490,34.938,235.2,,,,,,
rider,Pedro,ACOSTA,Red,Bull,KTM,Ajo,SPA,4th,37,Total,laps=16,laps=11,
lap,1,2'06.548,30.557,37.530,17.313,36.675,,,,,,,
lap,2,1'51.495,24.023,35.332,16.632,35.508,231.2,,,,,,
lap,3,1'50.424,23.693,35.161,16.543,35.027,233.2,,,,,,
lap,4,1'49.979,23.583,34.998,16.381,35.017,232.7,,,,,,
lap,5,1'50.202,23.777,34.985,16.448,34.992,232.2,,,,,,
lap,6,1'50.089,23.627,35.042,16.352,35.068,231.2,,,,,,
lap,7,1'52.868,25.272,35.691,16.482,35.423,230.2,,,,,,
lap,8,1'58.911,P,23.958,35.428,16.708,42.817,229.7,,,,,
lap,9,8'46.060,30.462,36.827,17.807,38.933,,,,,,,
lap,10,1'49.173,23.442,34.721,16.336,34.674,233.7,,,,,,
lap,11,1'51.182,23.963,35.323,16.579,35.317,232.2,,,,,,
lap,12,1'48.961,23.443,34.627,16.291,34.600,231.7,,,,,,
lap,13,1'59.240,P,24.251*,36.864,16.747,41.378,231.7,,,,,
lap,14,5'48.465,29.321,34.955*,16.286,34.630,,,,,,,
lap,15,1'48.334,23.234,34.515,16.199,34.386,235.2,,,,,,
lap,16,2'02.390,23.133,34.707,27.559,36.991,236.3,,,,,,
rider,Darryn,BINDER,Petronas,Sprinta,Raci,RSA,5th,40,Total,laps=14,laps=7,,
lap,1,2'34.327,30.216,37.700,18.109,39.468,,,,,,,
lap,2,1'50.887,23.896,35.289,16.640,35.062,234.2,,,,,,
lap,3,1'53.957,27.125,35.512,16.478,34.842,237.3,,,,,,
lap,4,1'49.749,23.825,34.780,16.373,34.771,239.4,,,,,,
lap,5,1'49.721,23.581,34.899,16.349,34.892,233.7,,,,,,
lap,6,1'52.586,24.884,36.577,16.255,34.870,231.2,,,,,,
lap,7,1'58.124,P,23.554,35.073,16.519,42.978,235.8,,,,,
lap,8,7'05.391,37.265,35.570,16.646,35.430,,,,,,,
lap,9,1'49.930,23.782,34.774*,16.552,34.822,233.2,,,,,,
lap,10,1'51.250,23.708,35.522,16.661,35.359,233.7,,,,,,
lap,11,2'00.646,P,23.984*,35.463,16.572,44.627,231.7,,,,,
lap,12,10'31.669,31.931,37.299,23.104,37.094*,,,,,,,
lap,13,1'48.365,23.436,34.388,16.212,34.329,238.9,,,,,,
lap,14,1'49.170,23.403,34.730,16.324,34.713,237.8,,,,,,
rider,Jeremy,ALCOBA,Indonesian,Racing,Gr,SPA,6th,52,Total,laps=15,laps=9,,
lap,1,2'34.624,30.769,37.918,17.672,42.398,,,,,,,
lap,2,1'50.902,23.842,35.162,16.600,35.298,236.8,,,,,,
lap,3,1'50.655,24.000,35.075,16.512,35.068,240.0,,,,,,
lap,4,1'50.267,23.695,35.070,16.492,35.010,236.8,,,,,,
lap,5,1'50.070,23.727,35.070,16.411,34.862,230.2,,,,,,
lap,6,2'00.063,P,23.720,36.212,16.849,43.282,230.2,,,,,
lap,7,7'30.744,29.474,35.881,16.888,35.617,,,,,,,
lap,8,1'50.786,23.819,35.101,16.657,35.209,228.3,,,,,,
lap,9,1'49.882,23.628,34.918,16.431,34.905,230.2,,,,,,
lap,10,1'49.864,23.543,34.884,16.465,34.972,230.7,,,,,,
lap,11,1'55.580,P,23.527,34.853,16.410,40.790,229.2,,,,,
lap,12,9'21.416,30.136,35.062,16.465,34.700,,,,,,,
lap,13,1'48.414,23.304,34.419,16.193,34.498,233.7,,,,,,
lap,14,1'49.335,23.563*,34.630,16.326,34.816,231.2,,,,,,
lap,15,1'49.272,23.554,34.540,16.342,34.836,229.2,,,,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,7th,7,Total,laps=14,laps=9,,,
lap,1,2'33.343,29.983,38.430,18.236,39.572,,,,,,,
lap,2,1'51.761,23.949,35.475,16.670,35.667,238.9,,,,,,
lap,3,1'50.941,23.926,35.175,16.571,35.269,236.3,,,,,,
lap,4,1'51.343,24.038,35.539,16.591,35.175,236.3,,,,,,
lap,5,1'49.620,23.544,34.901,16.412,34.763,237.3,,,,,,
lap,6,2'00.216,P,23.527,35.947,17.173,43.569,238.4,,,,,
lap,7,8'20.304,29.287,36.116,16.538,35.008,,,,,,,
lap,8,1'48.830,23.505,34.491,16.271,34.563,239.4,,,,,,
lap,9,1'48.648,23.487,34.509,16.235,34.417,240.5,,,,,,
lap,10,1'50.914,23.463,36.565,16.363,34.523,241.0,,,,,,
lap,11,2'00.952,P,23.537,35.147,16.633,45.635,241.0,,,,,
lap,12,9'03.113,28.123,35.315,16.382,34.866,,,,,,,
lap,13,1'48.501,23.390,34.377,16.225,34.509,238.4,,,,,,
lap,14,1'49.183,23.478,34.522,16.352,34.831,236.8,,,,,,
rider,Niccolò,ANTONELL,Avintia,Esponsorama,ITA,8th,23,Total,laps=16,laps=11,,,
lap,1,2'10.262,29.745,36.886,16.862,36.019,,,,,,,
lap,2,1'51.527,24.056,35.447,16.648,35.376,234.2,,,,,,
lap,3,1'50.789,23.825,35.170,16.569,35.225,236.8,,,,,,
lap,4,1'50.240,23.787,34.987,16.410,35.056,232.2,,,,,,
lap,5,1'50.421,23.758,34.893,16.517,35.253,232.2,,,,,,
lap,6,1'49.895,23.595,34.663,16.354,35.283,232.2,,,,,,
lap,7,1'49.315,23.575,34.522,16.357,34.861,232.2,,,,,,
lap,8,1'59.234,P,23.962,35.783,16.606,42.883,233.7,,,,,
lap,9,7'00.720,29.442,35.492,16.346,34.846,,,,,,,
lap,10,1'48.506,23.362,34.339,16.206,34.599,236.3,,,,,,
lap,11,3'09.417,16.544,34.973,234.7,,,,,,,,
lap,12,1'56.437,P,24.158*,34.777,232.7,,,,,,,
lap,13,7'04.542,31.102,35.374,16.486,34.842,,,,,,,
lap,14,1'48.892,23.555,34.378,16.282,34.677,231.2,,,,,,
lap,15,1'53.332,23.597,39.028,16.184,34.523,231.7,,,,,,
lap,16,1'48.877,23.576,34.297,16.190,34.814,240.0,,,,,,
rider,Tatsuki,SUZUKI,SIC58,Squadra,Corse,JPN,9th,24,Total,laps=12,laps=4,,
lap,1,2'15.171,27.293,36.482,16.841,36.356,,,,,,,
lap,2,1'51.109,24.032,35.325,16.553,35.199,235.2,,,,,,
lap,3,1'52.869,23.918*,37.161,16.567,35.223,235.8,,,,,,
lap,4,2'03.613,P,23.813,34.814,19.736,45.250,235.8,,,,,
lap,5,8'17.806,26.436,36.042*,16.485,34.980,,,,,,,
lap,6,1'49.343,23.776,34.556,16.290,34.721,232.7,,,,,,
lap,7,1'49.012,23.570,34.557,16.270,34.615,234.7,,,,,,
lap,8,2'00.681,P,24.762,35.824*,16.830,43.265,235.2,,,,,
lap,9,7'14.726,P,24.077,35.304*,16.667,42.437,,,,,,
lap,10,7'36.770,27.568,34.969*,16.455,35.001,,,,,,,
lap,11,1'48.558,23.469,34.419,16.209,34.461,235.8,,,,,,
lap,unfinished,23.471,234.7,,,,,,,,,,
rider,Sergio,GARCIA,GASGAS,Valresa,AspSPA,10th,11,Total,laps=14,laps=7,,,
lap,1,2'37.447,30.537,36.832,17.302,36.302,,,,,,,
lap,2,1'51.631,24.077,35.630,16.542,35.382,232.2,,,,,,
lap,3,1'50.508,23.782,35.079,16.545,35.102,235.8,,,,,,
lap,4,1'59.704,P,23.764,35.411,16.599,43.930,238.4,,,,,
lap,5,6'10.588,30.919,35.958,16.531,35.029,,,,,,,
lap,6,1'49.373,23.564,34.615*,16.275,34.919,231.7,,,,,,
lap,7,1'49.466,23.530,34.602,16.276,35.058,231.2,,,,,,
lap,8,1'49.867,23.641,34.724,16.400,35.102,232.7,,,,,,
lap,9,1'50.029,23.657,34.744,16.501,35.127,230.2,,,,,,
lap,10,2'01.071,P,24.607,35.950,17.008,43.506,231.7,,,,,
lap,11,11'59.090,33.326,45.504,16.590,35.149,,,,,,,
lap,12,1'48.651,23.394,34.538,16.235,34.484,234.7,,,,,,
lap,13,1'48.845,23.330,34.549,16.270,34.696,235.8,,,,,,
lap,14,1'50.087,23.660,34.927*,16.413,35.087,231.7,,,,,,
rider,Xavier,ARTIGAS,Leopard,Racing,SPA,11th,43,Total,laps=17,laps=11,,,
lap,1,2'09.337,29.427,36.788,17.073,36.494,,,,,,,
lap,2,1'51.941,24.211,35.756,16.725,35.249,232.7,,,,,,
lap,3,1'55.707,23.784,40.203,16.625,35.095,235.8,,,,,,
lap,4,1'50.108,23.767,35.078,16.363,34.900,236.8,,,,,,
lap,5,1'50.082,23.748,35.039,16.395,34.900,240.0,,,,,,
lap,6,1'50.104,23.646,34.950,16.532,34.976,235.8,,,,,,
lap,7,1'50.046,23.678,34.998,16.456,34.914,233.2,,,,,,
lap,8,2'00.654,P,24.142,35.802,16.785,43.925,233.2,,,,,
lap,9,5'33.042,33.016,35.718,16.564,35.006,,,,,,,
lap,10,1'49.229,23.591,34.627,16.311,34.700,234.7,,,,,,
lap,11,1'49.462,23.569,34.800,16.246,34.847,236.8,,,,,,
lap,12,1'50.115,23.575*,34.990,16.449,35.101,235.8,,,,,,
lap,13,1'49.282,23.379,34.664,16.257,34.982,242.1,,,,,,
lap,14,1'59.048,P,24.781,35.537,16.721,42.009,233.2,,,,,
lap,15,6'41.802,29.435,35.548,16.611,35.078,,,,,,,
lap,16,1'48.680,23.583,34.424,16.214,34.459,233.7,,,,,,
lap,17,1'49.112,23.526,34.543,16.281,34.762,240.5,,,,,,
rider,Izan,GUEVARA,GASGAS,Valresa,AspSPA,12th,28,Total,laps=15,laps=8,,,
lap,1,3'04.453,30.944,38.148,17.465,37.148,,,,,,,
lap,2,1'54.055,24.745,36.151,16.926,36.233,229.7,,,,,,
lap,3,1'52.658,24.359,35.796,16.768,35.735,229.7,,,,,,
lap,4,1'51.794,24.087,35.492,16.728,35.487*,230.7,,,,,,
lap,5,1'51.796,24.068,35.389,16.755,35.584,230.7,,,,,,
lap,6,2'02.971,P,24.565,36.427,17.493,44.486,229.7,,,,,
lap,7,6'29.658,29.995,36.004,16.830,35.724,,,,,,,
lap,8,1'50.105,23.774,34.913,16.432,34.986,231.7,,,,,,
lap,9,1'49.683,23.674,34.743,16.439,34.827,235.8,,,,,,
lap,10,1'50.020,23.587,34.814,16.549,35.070,235.2,,,,,,
lap,11,2'01.211,P,23.768,35.081,16.695,45.667,236.8,,,,,
lap,12,9'11.155,31.890,45.478,17.129,35.104,,,,,,,
lap,13,1'49.112,23.504,34.639,16.382,34.587,234.7,,,,,,
lap,14,1'48.746,23.339,34.662,16.296,34.449,237.3,,,,,,
lap,15,1'50.926,23.583,35.462*,16.597,35.284,236.3,,,,,,
rider,Deniz,ÖNCÜ,Red,Bull,KTM,Tech,3,TUR,13th,53,Total,laps=16,laps=9
lap,1,2'13.808,30.387,36.662,16.858,35.553,,,,,,,
lap,2,1'51.139,24.142,35.429,16.515,35.053,231.2,,,,,,
lap,3,1'51.356,24.173,35.373,16.588,35.222,231.2,,,,,,
lap,4,1'50.477,23.937,34.916,16.555,35.069,230.2,,,,,,
lap,5,1'50.369,23.931,35.018,16.459,34.961,232.7,,,,,,
lap,6,1'50.300,24.060,34.849,16.516,34.875,230.2,,,,,,
lap,7,1'55.978,P,23.919,35.356,16.556,40.147,236.3,,,,,
lap,8,7'23.950,30.981,36.141,16.596,35.135,,,,,,,
lap,9,1'49.224,23.743,34.437,16.375,34.669,229.7,,,,,,
lap,10,1'49.622,23.773*,34.667,16.487,34.695,231.2,,,,,,
lap,11,1'54.916,P,23.731*,34.945,16.548,39.692,231.2,,,,,
lap,12,7'35.578,30.724,35.972,17.515,37.580,,,,,,,
lap,13,1'50.142,24.134,34.575*,16.254,35.179,237.8,,,,,,
lap,14,1'49.280,23.706,34.477,16.352,34.745,230.7,,,,,,
lap,15,1'54.264,23.810,39.240,16.283,34.931,230.2,,,,,,
lap,16,1'48.828,23.493,34.491,16.314,34.530,232.2,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,14th,17,Total,laps=18,laps=13,,
lap,1,2'32.546,31.161,37.133,17.514,36.893,,,,,,,
lap,2,1'54.338,24.160,35.864,18.197,36.117,228.3,,,,,,
lap,3,1'51.153,23.889,35.423,16.571,35.270,231.7,,,,,,
lap,4,1'53.144,25.181,36.451,16.476,35.036,231.2,,,,,,
lap,5,1'49.609,23.565,34.956,16.315,34.773,234.7,,,,,,
lap,6,1'50.355,24.000,34.938,16.370,35.047,233.2,,,,,,
lap,7,1'50.702,23.835,35.005,16.450,35.412*,231.2,,,,,,
lap,8,1'50.839,23.854,35.090,16.602,35.293,227.3,,,,,,
lap,9,1'50.456,23.856,34.896,16.508,35.196,226.8,,,,,,
lap,10,2'02.184,P,24.794,35.685,16.904,44.801,227.3,,,,,
lap,11,8'14.099,30.553,35.460,16.672,35.070,,,,,,,
lap,12,1'48.854,23.399,34.503,16.288,34.664,229.7,,,,,,
lap,13,1'49.507,23.468,34.520,16.559,34.960,229.7,,,,,,
lap,14,1'49.628,23.665,34.525,16.512,34.926,227.8,,,,,,
lap,15,1'49.554,23.653,34.543,16.416,34.942,226.8,,,,,,
lap,16,1'49.636,23.787,34.553,16.390,34.906,227.8,,,,,,
lap,17,1'50.103,23.843,34.611,16.554,35.095,227.3,,,,,,
lap,18,2'08.085,P,26.592,37.135,17.630,46.728,227.8,,,,,
rider,Carlos,TATAY,Avintia,Esponsorama,SPA,15th,99,Total,laps=17,laps=11,,,
lap,1,2'15.588,30.654,37.812,16.788,36.412,,,,,,,
lap,2,1'51.147,24.004,35.427,16.395,35.321,233.7,,,,,,
lap,3,1'50.526,23.931,35.160,16.431,35.004,234.2,,,,,,
lap,4,1'50.027,23.720,34.993,16.491,34.823,236.8,,,,,,
lap,5,1'51.601,24.043,35.718,16.539,35.301,238.4,,,,,,
lap,6,1'49.949,23.745,35.012,16.336,34.856,237.3,,,,,,
lap,7,1'49.854,23.748,34.915,16.281,34.910,234.7,,,,,,
lap,8,2'00.129,P,24.146,35.954,16.712,43.317,231.7,,,,,
lap,9,5'28.582,29.826,36.041,16.613,35.333,,,,,,,
lap,10,1'49.604,23.877,34.585,16.262,34.880,231.7,,,,,,
lap,11,1'50.596,23.880,35.476,16.441,34.799,237.8,,,,,,
lap,12,1'57.073,P,23.588*,35.402,16.455,41.628,234.2,,,,,
lap,13,7'30.510,29.827,36.087,16.967,35.560,,,,,,,
lap,14,1'49.657,23.796,34.797,16.322,34.742,228.8,,,,,,
lap,15,1'53.330,24.880,36.775,16.985,34.690,219.9,,,,,,
lap,16,1'48.869,23.559,34.569,16.172,34.569,234.2,,,,,,
lap,17,1'49.962,23.513,34.782*,16.508,35.159,233.2,,,,,,
rider,16th,12,Filip,SALAC,Rivacold,Snipers,Tea,CZE,Total,laps=14,laps=7,,
lap,1,2'39.013,29.429,37.021,16.824,35.764,,,,,,,
lap,2,1'51.416,24.098,35.452,16.589,35.277,237.3,,,,,,
lap,3,1'50.676,23.843,35.233,16.459,35.141,241.6,,,,,,
lap,4,1'50.625,23.802,35.226,16.540,35.057,235.2,,,,,,
lap,5,1'49.928,23.729,34.995,16.389,34.815,234.2,,,,,,
lap,6,2'00.265,P,23.797,36.848,16.540,43.080,235.8,,,,,
lap,7,8'17.631,30.009,36.369,16.667,35.214,,,,,,,
lap,8,1'56.766,P,24.149,36.556*,16.548,39.513,228.3,,,,,
lap,9,4'34.428,27.160,35.617,16.543,35.412,,,,,,,
lap,10,1'49.961,23.827,34.930,16.349,34.855,227.3,,,,,,
lap,11,1'54.390,P,23.563,35.024,16.553,39.250,229.2,,,,,
lap,12,6'32.192,28.807,37.692,17.842,36.920,,,,,,,
lap,13,1'48.926,23.473,34.558,16.253,34.642,233.7,,,,,,
lap,14,1'50.536,23.808,35.007,16.565,35.156,230.2,,,,,,
rider,17th,55,Romano,FENATI,Sterilgarda,Max,Racin,ITA,Total,laps=16,laps=8,,
lap,1,2'38.980,31.355,36.839,17.006,35.431,,,,,,,
lap,2,1'50.730,23.785,35.290,16.651,35.004,237.8,,,,,,
lap,3,1'50.667,23.704,35.524,16.558,34.881,239.4,,,,,,
lap,4,1'50.133,23.826,35.017,16.410,34.880,235.8,,,,,,
lap,5,1'49.521,23.448,34.947,16.541,34.585,237.8,,,,,,
lap,6,1'54.311,23.521,38.775,16.853,35.162,238.4,,,,,,
lap,7,1'49.597,23.476,34.899,16.383,34.839,235.8,,,,,,
lap,8,1'57.964,P,23.593,35.030,16.539,42.802,233.2,,,,,
lap,9,8'27.625,29.665,35.301,16.438,35.136,,,,,,,
lap,10,1'49.549,23.602*,34.882,16.323,34.742,234.2,,,,,,
lap,11,1'57.528,P,23.624,35.221,16.644,42.039,234.7,,,,,
lap,12,6'20.401,29.390,36.135,16.354,34.672*,,,,,,,
lap,13,1'52.315,25.898*,35.237,16.362,34.818,233.7,,,,,,
lap,14,1'49.098,23.371,34.689,16.385,34.653,233.2,,,,,,
lap,15,1'49.044,23.436,34.609,16.295,34.704,233.2,,,,,,
lap,16,2'21.251,P,23.298,34.505,16.238,1'07.210,232.7,,,,,
rider,Ayumu,SASAKI,Red,Bull,KTM,Tech,3,JPN,18th,71,Total,laps=16,laps=9
lap,1,2'14.000,29.847,36.722,16.763,35.573,,,,,,,
lap,2,1'51.324,24.082,35.559,16.521,35.162,234.2,,,,,,
lap,3,1'51.158,23.865,35.409,16.618,35.266,237.3,,,,,,
lap,4,1'50.516,23.894,35.073,16.383,35.166,233.7,,,,,,
lap,5,1'50.458,23.968,35.048,16.359,35.083,238.4,,,,,,
lap,6,1'50.169,23.871,34.853,16.498,34.947,240.0,,,,,,
lap,7,1'59.354,P,23.821,35.109,16.446,43.978,238.9,,,,,
lap,8,7'19.288,29.914,36.459,16.769,35.586,,,,,,,
lap,9,1'50.687,24.019,34.944,16.402,35.322,231.7,,,,,,
lap,10,1'49.593,23.598*,34.837,16.396,34.762,235.8,,,,,,
lap,11,2'05.361,P,27.021*,36.416,16.662,45.262,237.8,,,,,
lap,12,7'24.717,30.486,36.458,17.410,37.686,,,,,,,
lap,13,1'50.612,24.403,34.733,16.220,35.256,233.7,,,,,,
lap,14,1'49.110,23.526,34.573,16.229,34.782,235.2,,,,,,
lap,15,1'51.370,23.934,35.225,16.359,35.852,237.3,,,,,,
lap,16,1'50.727,23.435,35.094*,16.491,35.707,238.4,,,,,,
rider,Kaito,TOBA,CIP,Green,Power,JPN,19th,27,Total,laps=15,laps=9,,
lap,1,2'06.963,29.227,37.352,17.280,36.717,,,,,,,
lap,2,1'52.114,24.135,35.701,16.727,35.551,233.7,,,,,,
lap,3,1'51.582,23.821,35.450,16.775,35.536,233.7,,,,,,
lap,4,1'55.222,23.770,35.779,19.634,36.039,232.7,,,,,,
lap,5,1'52.636,23.852,35.566,17.183,36.035,232.2,,,,,,
lap,6,1'51.047,23.738,35.582,16.669,35.058,235.8,,,,,,
lap,7,1'58.992,P,23.771,35.140,16.604,43.477,235.2,,,,,
lap,8,6'50.004,30.042,36.076,16.633,34.891,,,,,,,
lap,9,1'49.153,23.599,34.607,16.363,34.584,235.2,,,,,,
lap,10,1'52.152,23.293,36.005,17.637,35.217,237.3,,,,,,
lap,11,1'49.624,23.521,34.730,16.531,34.842,235.8,,,,,,
lap,12,1'59.574,P,24.284,35.351,16.991,42.948,233.7,,,,,
lap,13,9'15.842,29.542,40.563,18.157,36.735,,,,,,,
lap,14,1'53.460,23.970,35.982,17.594,35.914,232.7,,,,,,
lap,15,2'00.918,P,23.712,35.852*,16.660,44.694,242.1,,,,,
rider,20th,31,Adrian,FERNANDEZ,Sterilgarda,Max,Racin,SPA,Total,laps=17,laps=10,,
lap,1,2'33.700,30.353,38.937,18.288,43.779,,,,,,,
lap,2,1'51.711,24.072,35.376,16.890,35.373,236.3,,,,,,
lap,3,1'51.223,24.240,35.242,16.521,35.220,236.3,,,,,,
lap,4,1'51.300,23.919,35.254*,16.643,35.484,234.7,,,,,,
lap,5,1'52.865,24.046,36.853,16.943,35.023,233.7,,,,,,
lap,6,1'50.864,24.216,35.198,16.438,35.012*,233.7,,,,,,
lap,7,2'02.078,P,23.757,35.580,17.006,45.735,234.7,,,,,
lap,8,8'43.642,30.943,39.780,16.707,37.178,,,,,,,
lap,9,1'51.116,23.750,35.768,16.579,35.019,236.3,,,,,,
lap,10,1'49.912,23.659,34.782,16.371,35.100,233.2,,,,,,
lap,11,1'50.668,24.043,34.941,16.449,35.235,231.2,,,,,,
lap,12,1'59.754,P,24.192,35.783,16.781,42.998,229.2,,,,,
lap,13,4'15.051,28.770,35.607,16.420,40.110,,,,,,,
lap,14,1'49.378,23.754,34.582,16.287,34.755,234.7,,,,,,
lap,15,1'50.461,23.502,34.451,16.433,36.075,236.3,,,,,,
lap,16,1'49.592,23.927,34.553,16.386,34.726,231.7,,,,,,
