0,1,2,3,4,5,6,7,8,9,10
const,2021,April 18,Moto3,Autódromo Internacional do Algarve,RACE,,,,,
rider,Pedro,ACOSTA,Red,Bull,KTM,Ajo,SPA,1st,37,
lap,1,1'48.623,23.052,34.875,16.246,34.450,,,,
lap,2,1'49.347,23.779,35.052,16.233,34.283,244.3,,,
lap,3,1'49.011,23.527,34.787,16.262,34.435,241.6,,,
lap,4,1'48.906,23.222,34.907,16.316,34.461,244.8,,,
lap,5,1'48.947,23.544,34.574,16.323,34.506,237.3,,,
lap,6,1'48.627,23.509,34.458,16.263,34.397,240.0,,,
lap,7,1'48.695,23.415,34.524,16.252,34.504,242.1,,,
lap,8,1'48.706,23.433,34.517,16.423,34.333,240.5,,,
lap,9,1'48.684,23.315,34.531,16.280,34.558,240.0,,,
lap,10,1'48.381,23.459,34.393,16.336,34.193,243.2,,,
lap,11,1'48.458,23.369,34.455,16.275,34.359,241.0,,,
lap,12,1'48.320,23.278,34.346,16.162,34.534,241.0,,,
lap,13,1'48.443,23.352,34.417,16.274,34.400,242.6,,,
lap,14,1'48.564,23.290,34.496,16.245,34.533,241.0,,,
lap,15,1'48.488,23.240,34.501,16.322,34.425,240.5,,,
lap,16,1'48.368,23.183,34.399,16.237,34.549,244.3,,,
lap,17,1'48.328,23.237,34.325,16.273,34.493,241.6,,,
lap,18,1'49.345,23.979*,34.514,16.410,34.442,237.8,,,
lap,19,1'48.371,23.219,34.493,16.176,34.483,244.3,,,
lap,20,1'48.573,23.445,34.432*,16.361,34.335,242.6,,,
lap,21,1'48.588,23.250,34.438,16.271,34.629,241.0,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,2nd,7,,,
lap,1,1'48.530,22.649,34.824,16.354,34.703,,,,
lap,2,1'49.474,23.661,35.021,16.366,34.426*,243.7,,,
lap,3,1'48.919,23.455,34.655,16.320,34.489,244.3,,,
lap,4,1'49.024,23.323,34.714,16.360,34.627,244.3,,,
lap,5,1'48.850,23.315,34.605,16.336,34.594,242.6,,,
lap,6,1'48.602,23.310,34.520,16.287,34.485,241.6,,,
lap,7,1'48.712,23.367,34.507,16.261,34.577,241.6,,,
lap,8,1'48.693,23.339,34.483,16.369,34.502,242.1,,,
lap,9,1'48.654,23.236,34.540,16.302,34.576,240.0,,,
lap,10,1'48.430,23.160,34.410,16.314,34.546,240.5,,,
lap,11,1'48.437,23.234,34.473,16.273,34.457,241.0,,,
lap,12,1'48.281,23.182,34.372,16.172,34.555*,240.5,,,
lap,13,1'48.454,23.271,34.455,16.311,34.417,240.0,,,
lap,14,1'48.594,23.240,34.505,16.242,34.607,238.9,,,
lap,15,1'48.413,23.275,34.399,16.281,34.458,240.5,,,
lap,16,1'48.334,23.191,34.376,16.280,34.487,240.0,,,
lap,17,1'48.474,23.247,34.345,16.265,34.617,238.9,,,
lap,18,1'49.256,23.863,34.531,16.339,34.523,237.8,,,
lap,19,1'48.326,23.219,34.480,16.203,34.424,239.4,,,
lap,20,1'48.592,23.464,34.458,16.212,34.458,240.0,,,
lap,21,1'48.775,23.256,34.423,16.254,34.842,240.5,,,
rider,Andrea,MIGNO,Rivacold,Snipers,Tea,ITA,3rd,16,,
