0,1,2,3,4,5,6,7,8,9,10,11,12
const,2021,May 01,Moto3,Circuito de Jerez,Q1,,,,,,,
rider,Pedro,ACOSTA,Red,Bull,KTM,Ajo,SPA,1st,37,Total,laps=6,laps=2
lap,1,2'45.919,28.964,16.612,32.054,33.587,203.7,,,,,
lap,2,1'50.460,26.297*,17.415,33.745,33.003,183.3,,,,,
lap,3,1'47.374,26.120,16.280,31.536,33.438,208.8,,,,,
lap,4,1'41.778,P,26.461,16.333,31.954,27.030,206.1,,,,
lap,5,1'49.904,28.209,16.462,31.217,34.016,205.7,,,,,
lap,6,1'46.138,25.861,16.327,31.284,32.666,208.8,,,,,
rider,Izan,GUEVARA,Solunion,GASGAS,As,SPA,2nd,28,Total,laps=6,laps=3,
lap,1,3'12.406,28.851,16.472,35.854,40.184,208.4,,,,,
lap,2,1'47.229,26.247,16.271,31.455,33.256,207.6,,,,,
lap,3,1'47.210,26.047,16.287,31.564,33.312,212.5,,,,,
lap,4,1'45.785,P,26.365,16.460,34.597,28.363,206.5,,,,
lap,5,1'52.136,28.256,16.532,33.096,34.252,201.4,,,,,
lap,6,1'46.164,25.970,16.265,31.043,32.886,210.1,,,,,
rider,Carlos,TATAY,Avintia,Esponsorama,SPA,3rd,99,Total,laps=7,laps=4,,
lap,1,2'09.940,29.253,16.953,31.902,33.572,203.0,,,,,
lap,2,1'48.063,26.379,16.720,31.573,33.391,201.8,,,,,
lap,3,1'47.461,26.217,16.530,31.381,33.333,204.1,,,,,
lap,4,1'42.002,P,26.534,16.780,32.185,26.503,203.0,,,,
lap,5,1'51.424,29.351,16.931,31.747,33.395,200.3,,,,,
lap,6,1'46.388,26.019,16.302,31.156,32.911,205.7,,,,,
lap,7,1'46.422,25.887,16.371,31.161,33.003,205.3,,,,,
rider,Jeremy,ALCOBA,Indonesian,Racing,Gr,SPA,4th,52,Total,laps=6,laps=3,
lap,1,2'47.283,30.904,16.468,31.954,33.429,207.2,,,,,
lap,2,1'47.542,26.309,16.469,31.549,33.215,203.3,,,,,
lap,3,1'47.576,26.237,16.435,31.533,33.371,205.7,,,,,
lap,4,1'44.638,P,26.820,17.298,32.873,27.647,175.8,,,,
lap,5,2'04.050,32.442,16.456,32.016,43.136,205.3,,,,,
lap,6,1'46.503,26.268,16.199,31.076,32.960,210.1,,,,,
rider,Ryusei,YAMANAKA,CarXpert,PruestelGP,JPN,5th,6,Total,laps=5,laps=2,,
lap,1,2'47.023,30.407,16.630,31.971,33.403,201.4,,,,,
lap,2,1'48.117,26.484,16.728,31.677,33.228,204.9,,,,,
lap,3,1'43.644,P,26.575,16.622,31.717,28.730,203.7,,,,
lap,4,1'54.636,29.219,16.553,31.424,37.440,205.3,,,,,
lap,5,1'46.579,26.067,16.367,31.338,32.807,210.9,,,,,
rider,Andi,Farid,IZDIHAR,Honda,Team,Asia,INA,6th,19,Total,laps=6,laps=3
lap,1,3'12.851,31.172,19.307,39.647,41.302,178.2,,,,,
lap,2,1'47.660,26.420,16.590,31.315,33.335,206.1,,,,,
lap,3,1'46.737,26.078,16.321,31.090,33.248,207.6,,,,,
lap,4,1'44.415,P,26.383,16.471,32.774,28.787,206.1,,,,
lap,5,1'50.352,28.573,16.496,31.449,33.834,204.5,,,,,
lap,6,1'46.776,26.157,16.424,31.080,33.115,206.5,,,,,
rider,Sergio,GARCIA,Solunion,GASGAS,As,SPA,7th,11,Total,laps=6,laps=3,
lap,1,3'11.922,28.849,16.688,37.194,40.121,205.3,,,,,
lap,2,1'47.437,26.369,16.523,31.458,33.087,208.8,,,,,
lap,3,1'47.418,26.161,16.417,31.498,33.342,208.4,,,,,
lap,4,1'44.990,P,26.224,16.654,33.081,29.031,201.4,,,,
lap,5,1'52.036,27.986,16.636,33.274,34.140,205.3,,,,,
lap,6,1'46.754,26.128,16.424,31.156,33.046,208.4,,,,,
rider,Adrian,FERNANDEZ,Sterilgarda,Max,Racin,SPA,8th,31,Total,laps=6,laps=3,
lap,1,2'47.470,30.315,16.398,31.934,33.453,210.5,,,,,
lap,2,1'47.595,26.175,16.531,31.594,33.295,203.3,,,,,
lap,3,1'48.206,26.192,16.391,31.548,34.075,207.6,,,,,
lap,4,1'43.376,P,26.579,16.565,32.425,27.807,205.3,,,,
lap,5,2'03.307,31.550,16.643,31.951,43.163,206.8,,,,,
lap,6,1'46.763,26.309,16.276,31.206,32.972,209.7,,,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,9th,7,Total,laps=6,laps=3,,
lap,1,2'48.536,30.958,16.535,31.671,33.408,210.5,,,,,
lap,2,1'47.331,26.282,16.370,31.567,33.112,209.3,,,,,
lap,3,1'47.947,26.240,16.265,31.305,34.137,212.5,,,,,
lap,4,1'41.796,P,26.358,16.322,31.556,27.560,211.3,,,,
lap,5,1'53.873,28.459,16.533,31.443,37.438,208.0,,,,,
lap,6,1'46.777,26.198,16.599,31.113,32.867,208.8,,,,,
rider,Riccardo,ROSSI,BOE,Owlride,ITA,10th,54,Total,laps=6,laps=2,,
lap,1,2'46.891,28.797,16.511,32.007,34.039,205.3,,,,,
lap,2,1'49.912,26.530*,17.310,32.804,33.268,196.0,,,,,
lap,3,1'47.248,26.158,16.270,31.579,33.241,209.3,,,,,
lap,4,1'43.045,P,26.781,16.485,31.953,27.826,208.0,,,,
lap,5,1'55.331,28.200,16.470,31.530,39.131,203.3,,,,,
lap,6,1'46.830,26.078,16.210,31.392,33.150,211.7,,,,,
rider,Stefano,NEPA,BOE,Owlride,ITA,11th,82,Total,laps=6,laps=3,,
lap,1,2'48.703,30.684,16.433,31.752,33.312,209.7,,,,,
lap,2,1'47.397,26.265,16.286,31.752,33.094,208.8,,,,,
lap,3,1'46.839,26.179,16.157,31.395,33.108,211.7,,,,,
lap,4,1'42.862,P,26.814,16.727,31.868,27.453,204.5,,,,
lap,5,1'49.820,28.380,16.299,31.191,33.950,208.4,,,,,
lap,6,1'48.201,26.029,16.689,32.108,33.375,207.2,,,,,
rider,Kaito,TOBA,CIP,Green,Power,JPN,12th,27,Total,laps=6,laps=3,
lap,1,3'11.323,29.289,16.679,36.813,38.404,206.5,,,,,
lap,2,1'50.236,26.558,16.595,32.427,34.656,203.3,,,,,
lap,3,1'47.348,26.347,16.329,31.367,33.305,207.2,,,,,
lap,4,1'43.122,P,26.312,16.421,31.533,28.856,206.1,,,,
lap,5,1'50.901,28.701,17.080,31.755,33.365,200.0,,,,,
lap,6,1'46.867,26.092,16.294,31.170,33.311,207.2,,,,,
rider,Maximilian,KOFLER,CIP,Green,Power,AUT,13th,73,Total,laps=6,laps=3,
lap,1,3'11.766,29.060,16.762,37.040,39.815,206.5,,,,,
lap,2,1'48.161,26.666,16.516,31.687,33.292,206.5,,,,,
lap,3,1'47.114,26.139,16.251,31.410,33.314,209.7,,,,,
lap,4,1'45.299,P,26.254,16.455,33.242,29.348,208.8,,,,
lap,5,1'51.906,28.224,16.635,32.538,34.509,205.3,,,,,
lap,6,1'48.153,26.724,16.364,31.531,33.534,209.3,,,,,
rider,Lorenzo,FELLON,SIC58,Squadra,Corse,FRA,14th,20,Total,laps=6,laps=2,
lap,1,2'48.092,30.879,16.513,31.644,33.634,206.8,,,,,
lap,2,1'48.040,26.372,16.523,31.912,33.233,202.2,,,,,
lap,3,1'47.725,26.281,16.251,31.518,33.675*,206.8,,,,,
lap,4,1'42.450,P,26.521,16.309,31.960,27.660,210.1,,,,
lap,5,1'52.409,27.628,16.511,31.794,36.476,204.9,,,,,
lap,6,1'47.686,26.237,16.437,31.387,33.625,207.2,,,,,
