0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2021,March 27,MotoGP,Losail International Circuit,Q2,,,,,,,,
rider,1st,63,Francesco,BAGNAIA,DUCATI,ITA,Ducati,Lenovo,Team,Total,laps=7,laps=4,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,
lap,1,2'29.738,40.783,32.850,29.718,31.793,62.0,,,,,,
lap,2,1'53.273,24.856,29.545,27.999,30.873,355.2,,,,,,
lap,3,1'53.433,24.827,29.441,28.142,31.023,352.9,,,,,,
lap,4,1'58.414,P,26.521,33.750,29.077,29.066,350.6,,,,,
run,2,Slick-Soft,Slick-Soft,4,0,,,,,,,,
lap,5,2'01.673,30.693,30.786,28.768,31.426,157.6,,,,,,
lap,6,1'52.772,24.662,29.329,27.901,30.880,350.6,,,,,,
lap,7,2'04.868,30.136,32.542,29.525,32.665,351.7,,,,,,
rider,2nd,20,Fabio,QUARTARARO,YAMAHA,FRA,Monster,Energy,Yamaha,MotoGP,Total,laps=6,laps=3
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,
lap,1,2'59.832,31.837,31.253,28.641,31.848,170.8,,,,,,
lap,2,1'53.338,24.765,29.594,27.866,31.113,350.6,,,,,,
lap,3,1'53.038,24.571,29.501,27.914,31.052,350.6,,,,,,
lap,4,1'56.960,P,26.705,31.785,29.050,29.420,349.5,,,,,
run,2,Slick-Soft,Slick-Soft,4,0,,,,,,,,
lap,5,2'05.070,30.823,31.123,30.568,32.556,173.6,,,,,,
lap,6,2'07.859,34.470,34.093,28.158,31.138,349.5,,,,,,
rider,3rd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=7,laps=4
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,
lap,1,3'09.722,29.776,30.519,28.453,31.385,175.6,,,,,,
lap,2,1'53.369,24.839,29.582,27.816,31.132,348.3,,,,,,
lap,3,1'53.260,24.695,29.567,27.809,31.189,348.3,,,,,,
lap,4,1'54.697,P,26.027,30.793,28.857,29.020,347.2,,,,,
run,2,Slick-Soft,Slick-Soft,0,0,,,,,,,,
lap,5,1'59.512,29.712,30.242,28.216,31.342,173.6,,,,,,
lap,6,1'53.124,24.755,29.424,27.835,31.110,347.2,,,,,,
lap,7,1'53.088,24.761,29.417,27.810,31.100,346.1,,,,,,
rider,4th,46,Valentino,ROSSI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=7,laps=4,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,
lap,1,2'28.246,31.881,31.693,29.144,31.805,161.6,,,,,,
lap,2,1'54.638,25.011,29.861,28.451,31.315,347.2,,,,,,
lap,3,1'54.113,25.021,29.656,28.076,31.360,345.0,,,,,,
lap,4,1'58.120,P,26.542,33.465,29.029,29.084,346.1,,,,,
run,2,Slick-Soft,Slick-Soft,0,0,,,,,,,,
lap,5,2'05.472,33.463,30.952,29.472,31.585,110.0,,,,,,
lap,6,1'53.114,24.787,29.340,27.898,31.089,348.3,,,,,,
lap,7,2'07.415,31.531,31.069,29.297,35.518,346.1,,,,,,
rider,5th,43,Jack,MILLER,DUCATI,AUS,Ducati,Lenovo,Team,Total,laps=7,laps=4,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,
lap,1,2'24.039,33.659,31.567,29.760,31.946,146.3,,,,,,
lap,2,2'02.579,27.269,30.716,32.544,32.050,352.9,,,,,,
lap,3,1'53.215,24.684,29.535,28.039,30.957,355.2,,,,,,
lap,4,1'56.010,P,26.393,31.086,29.139,29.392,357.6,,,,,
run,2,Slick-Soft,Slick-Soft,0,0,,,,,,,,
lap,5,2'10.178,31.964,31.012,32.080,35.122,159.7,,,,,,
lap,6,2'01.074,25.883,35.296,28.650,31.245,352.9,,,,,,
lap,7,1'53.389,24.774,29.477,28.145,30.993,354.0,,,,,,
rider,6th,5,Johann,ZARCO,DUCATI,FRA,Pramac,Racing,Total,laps=7,laps=4,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,
lap,1,2'25.222,33.045,31.952,29.587,31.826,162.4,,,,,,
lap,2,2'00.112,25.540,30.337,32.216,32.019,348.3,,,,,,
lap,3,1'53.817,24.865,29.723,28.135,31.094,355.2,,,,,,
lap,4,1'59.767,P,24.799,35.249,28.826,30.893,354.0,,,,,
run,2,Slick-Soft,Slick-Soft,4,0,,,,,,,,
