0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2021,March 28,MotoGP,Losail International Circuit,WUP,,,,,,,,,
rider,1st,20,Fabio,QUARTARARO,YAMAHA,FRA,Monster,Energy,Yamaha,MotoGP,Total,laps=10,laps=9,
run,1,Slick-Soft,Slick-Soft,0,4,,,,,,,,,
lap,1,3'30.886,33.587,38.059,34.908,32.970,162.4,,,,,,,
lap,2,1'56.521,25.587,30.517,28.578,31.839,330.2,,,,,,,
lap,3,1'56.121,25.201,30.246,28.708,31.966,333.3,,,,,,,
lap,4,1'58.127,24.977,30.189,30.578,32.383,330.2,,,,,,,
lap,5,1'55.797,25.239,30.198,28.530,31.830,332.3,,,,,,,
lap,6,2'00.929,25.042,33.398,30.358,32.131,330.2,,,,,,,
lap,7,1'55.408,24.966,30.119,28.376,31.947,329.2,,,,,,,
lap,8,1'55.147,24.884,30.032,28.383,31.848,332.3,,,,,,,
lap,9,1'55.445,24.946,30.087,28.497,31.915,331.2,,,,,,,
lap,10,2'04.901,27.878,33.857,30.413,32.753,332.3,,,,,,,
rider,2nd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=9,laps=6,
run,1,Slick-Soft,Slick-Soft,3,4,,,,,,,,,
lap,1,3'28.391,30.770,32.679,30.311,32.984,173.9,,,,,,,
lap,2,1'58.373,26.048,30.987,28.912,32.426,327.2,,,,,,,
lap,3,1'56.759,25.408,30.411,28.779,32.161,328.2,,,,,,,
lap,4,1'56.685,25.749,30.421,28.570,31.945,327.2,,,,,,,
lap,5,1'57.544,26.837,30.460,28.536,31.711,329.2,,,,,,,
lap,6,1'55.285,25.031,30.066,28.266,31.922,332.3,,,,,,,
lap,7,1'56.776,24.957,30.267,28.974,32.578,329.2,,,,,,,
lap,8,1'52.005,P,25.058,30.075,28.353,28.519,331.2,,,,,,
run,2,Slick-Soft,Slick-Soft,11,12,,,,,,,,,
lap,9,2'07.310,33.765,31.706,29.241,32.598,168.7,,,,,,,
rider,3rd,5,Johann,ZARCO,DUCATI,FRA,Pramac,Racing,Total,laps=9,laps=6,,,
run,1,Slick-Soft,Slick-Soft,7,4,,,,,,,,,
lap,1,2'32.003,32.796,32.699,29.923,32.704,163.8,,,,,,,
lap,2,1'57.498,25.914,30.525,28.982,32.077,339.6,,,,,,,
lap,3,1'56.009,25.281,30.061,28.818,31.849,342.8,,,,,,,
lap,4,1'55.333,25.193,29.997,28.561,31.582,343.9,,,,,,,
lap,5,1'54.556,P,25.197,30.144,28.885,30.330,345.0,,,,,,
run,2,Slick-Soft,Slick-Soft,12,9,,,,,,,,,
