0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2021,April 03,MotoGP,Losail International Circuit,FP4,,,,,,,,,
rider,1st,5,Johann,ZARCO,DUCATI,FRA,Pramac,Racing,Total,laps=13,laps=10,,,
run,1,Slick-Soft,Slick-Soft,7,3,,,,,,,,,
lap,1,2'27.431,32.192,32.233,29.558,32.219,171.1,,,,,,,
lap,2,1'55.803,25.504,30.013,28.601,31.685,347.2,,,,,,,
lap,3,1'55.512,25.004,30.131,28.728,31.649,355.2,,,,,,,
lap,4,1'54.960,24.889,30.095,28.462,31.514,350.6,,,,,,,
lap,5,1'54.543,24.953,29.808,28.367,31.415,347.2,,,,,,,
lap,6,1'54.688,24.906,29.840,28.393,31.549,349.5,,,,,,,
lap,7,1'54.063,P,25.337,30.098,28.586,30.042,332.3,,,,,,
run,2,Slick-Soft,Slick-Soft,14,10,,,,,,,,,
lap,8,2'04.648,32.713,31.246,28.874,31.815,159.2,,,,,,,
lap,9,1'55.287,25.063,30.088,28.473,31.663,340.6,,,,,,,
lap,10,1'55.308,25.080,30.189,28.423,31.616,343.9,,,,,,,
lap,11,1'54.959,25.022,29.856,28.332,31.749,343.9,,,,,,,
lap,12,1'54.943,24.916,30.018,28.435,31.574,345.0,,,,,,,
lap,13,2'05.110,24.958,36.804,29.950,33.398,343.9,,,,,,,
rider,2nd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=14,laps=11,
run,1,Slick-Soft,Slick-Soft,3,0,,,,,,,,,
lap,1,2'05.836,30.521,31.559,29.027,32.279,170.6,,,,,,,
lap,2,1'56.157,25.268,30.368,28.537,31.984,331.2,,,,,,,
lap,3,1'55.315,25.033,30.100,28.313,31.869,330.2,,,,,,,
lap,4,1'54.751,24.908,29.964,28.167,31.712,329.2,,,,,,,
lap,5,1'54.698,24.758,30.021,28.199,31.720,331.2,,,,,,,
lap,6,1'59.240,26.798,31.636,28.749,32.057,330.2,,,,,,,
lap,7,1'55.189,24.896,30.071,28.430,31.792,329.2,,,,,,,
lap,8,1'54.887,24.865,29.976,28.290,31.756,331.2,,,,,,,
lap,9,1'53.290,P,24.976,30.237,29.018,29.059,332.3,,,,,,
run,2,Slick-Soft,Slick-Soft,12,9,,,,,,,,,
lap,10,2'04.974,29.747,30.884,29.546,34.797*,171.9,,,,,,,
lap,11,1'55.125,24.983,30.097,28.354,31.691,334.3,,,,,,,
lap,12,1'54.885,24.890,29.913,28.315,31.767,333.3,,,,,,,
lap,13,1'55.031,24.852,29.955,28.348,31.876,332.3,,,,,,,
lap,14,1'55.960,24.918,30.065,28.983,31.994,333.3,,,,,,,
rider,3rd,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=13,laps=9,,
run,1,Slick-Soft,Slick-Medium,4,0,,,,,,,,,
lap,1,2'42.612,31.672,31.444,29.354,32.261,166.4,,,,,,,
lap,2,1'56.669,25.654,30.303,28.635,32.077,329.2,,,,,,,
