0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2021,April 03,MotoGP,Losail International Circuit,Q1,,,,,,,,,
rider,1st,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=7,laps=4,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'03.004,29.820,30.539,28.655,31.755,169.5,,,,,,,
lap,2,1'54.754,24.885,29.840,28.416,31.613,329.2,,,,,,,
lap,3,1'54.314,24.880,29.749,28.108,31.577,328.2,,,,,,,
lap,4,1'56.368,P,26.212,30.858,28.969,30.329,328.2,,,,,,
run,2,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,5,1'59.667,29.330,30.306,28.363,31.668,174.1,,,,,,,
lap,6,1'54.436,24.932,29.883,28.185,31.436,333.3,,,,,,,
lap,7,1'53.931,24.749,29.697,28.085,31.400,335.4,,,,,,,
rider,2nd,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Factory,Racing,Total,laps=6,laps=3
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'21.920,30.755,31.478,29.505,32.051,171.1,,,,,,,
lap,2,1'55.256,25.060,30.022,28.433,31.741,338.5,,,,,,,
lap,3,2'00.373,P,28.653,31.741,30.024,29.955,335.4,,,,,,
run,2,Slick-Soft,Slick-Soft,3,0,,,,,,,,,
lap,4,2'18.674,30.808,31.104,28.783,47.979,180.0,,,,,,,
lap,5,1'54.583,24.910,29.923,28.244,31.506,337.5,,,,,,,
lap,6,1'54.220,24.853,29.749,28.116,31.502,339.6,,,,,,,
rider,3rd,10,Luca,MARINI,DUCATI,ITA,SKY,VR46,Esponsorama,Total,laps=7,laps=4,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'05.177,30.546,31.246,28.911,31.933,172.8,,,,,,,
lap,2,1'55.896,25.154,30.173,28.713,31.856,340.6,,,,,,,
lap,3,1'54.801,25.058,29.998,28.313,31.432,338.5,,,,,,,
lap,4,1'54.364,P,25.858,30.550,28.922,29.034,333.3,,,,,,
run,2,Slick-Soft,Slick-Soft,4,0,,,,,,,,,
lap,5,2'01.450,30.692,30.617,28.596,31.545,164.1,,,,,,,
lap,6,1'54.393,24.955,29.809,28.278,31.351,341.7,,,,,,,
lap,7,1'54.228,24.778,29.795,28.324,31.331,343.9,,,,,,,
rider,4th,73,Alex,MARQUEZ,HONDA,SPA,LCR,Honda,CASTROL,Total,laps=7,laps=4,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'04.861,30.650,31.045,28.936,32.332*,163.8,,,,,,,
lap,2,1'56.119,25.184,30.261,28.679,31.995,335.4,,,,,,,
lap,3,1'54.886,24.884,29.998,28.339,31.665,335.4,,,,,,,
lap,4,1'54.190,P,25.682,30.571,28.819,29.118,336.4,,,,,,
run,2,Slick-Soft,Slick-Soft,4,0,,,,,,,,,
lap,5,2'01.520,30.252,30.894,28.548,31.826,174.1,,,,,,,
lap,6,1'54.507,24.894,29.837,28.241,31.535,338.5,,,,,,,
lap,7,1'54.261,24.714,29.867,28.188,31.492,342.8,,,,,,,
rider,5th,44,Pol,ESPARGARO,HONDA,SPA,Repsol,Honda,Team,Total,laps=6,laps=3,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'18.652,31.852,33.201,29.566,32.932,173.3,,,,,,,
lap,2,1'53.790,P,25.280,30.168,28.862,29.480,340.6,,,,,,
run,2,Slick-Soft,Slick-Soft,2,0,,,,,,,,,
lap,3,2'02.228,30.326,30.569,29.191,32.142,178.2,,,,,,,
lap,4,1'55.065,25.073,29.907,28.342,31.743,332.3,,,,,,,
lap,5,1'54.402,24.985,29.603,28.235,31.579,334.3,,,,,,,
lap,6,1'54.754,24.914,29.913,28.169,31.758,336.4,,,,,,,
rider,6th,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=7,laps=3,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'16.515,33.302,32.835,29.536,32.458,136.5,,,,,,,
lap,2,1'55.904,25.343,29.950,28.576,32.035,335.4,,,,,,,
lap,3,1'54.810,25.077,29.756,28.296,31.681*,331.2,,,,,,,
lap,4,1'57.302,P,27.692,30.921,29.069,29.620,337.5,,,,,,
run,2,Slick-Soft,Slick-Soft,4,0,,,,,,,,,
lap,5,2'02.340,30.790,30.691,28.951,31.908,160.7,,,,,,,
lap,6,1'55.025,25.175,29.820,28.334,31.696,339.6,,,,,,,
lap,7,1'54.481,24.939,29.645,28.210,31.687,338.5,,,,,,,
rider,7th,9,Danilo,PETRUCCI,KTM,ITA,Tech,3,KTM,Factory,Racing,Total,laps=7,laps=4
