0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2021,April 04,MotoGP,Losail International Circuit,RACE,,,,,,,,,
rider,1st,20,Fabio,QUARTARARO,YAMAHA,FRA,Monster,Energy,Yamaha,MotoGP,Total,laps=22,laps=21,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'02.621,31.579,30.637,28.639,31.766,196.3,,,,,,,
lap,2,1'55.984,25.233,30.859,28.369,31.523,340.6,,,,,,,
lap,3,1'55.249,25.016,30.261,28.315,31.657,342.8,,,,,,,
lap,4,1'55.362,25.166,30.218,28.380,31.598,341.7,,,,,,,
lap,5,1'55.192,25.033,30.193,28.373,31.593,342.8,,,,,,,
lap,6,1'55.030,24.892,30.354,28.289,31.495,343.9,,,,,,,
lap,7,1'55.186,25.095,30.219,28.302,31.570,346.1,,,,,,,
lap,8,1'54.973,24.943,30.110,28.331,31.589,342.8,,,,,,,
lap,9,1'55.066,25.006,30.172,28.289,31.599,343.9,,,,,,,
lap,10,1'55.157,25.028,30.136,28.399,31.594,343.9,,,,,,,
lap,11,1'55.690,25.284,30.268,28.472,31.666,345.0,,,,,,,
lap,12,1'55.601,24.899,30.341,28.723,31.638,343.9,,,,,,,
lap,13,1'55.318,24.961,30.222,28.484,31.651,342.8,,,,,,,
lap,14,1'55.128,24.948,30.246,28.388,31.546,341.7,,,,,,,
lap,15,1'55.658,24.996,30.364,28.578,31.720,345.0,,,,,,,
lap,16,1'55.454,24.881,30.363,28.489,31.721,341.7,,,,,,,
lap,17,1'55.509,25.077,30.226,28.464,31.742,343.9,,,,,,,
lap,18,1'55.251,25.037,30.176,28.376,31.662,339.6,,,,,,,
lap,19,1'55.121,25.056,30.099,28.354,31.612,332.3,,,,,,,
lap,20,1'55.182,25.001,30.100,28.399,31.682,333.3,,,,,,,
lap,21,1'55.131,24.977,30.081,28.406,31.667,334.3,,,,,,,
lap,22,1'55.134,24.926,30.141,28.355,31.712,334.3,,,,,,,
rider,2nd,5,Johann,ZARCO,DUCATI,FRA,Pramac,Racing,Total,laps=22,laps=20,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'01.607,30.889,30.271,28.696,31.751,202.6,,,,,,,
lap,2,1'55.281,25.205,30.124,28.393,31.559,345.0,,,,,,,
lap,3,1'55.505,25.308,30.235,28.406,31.556,345.0,,,,,,,
lap,4,1'55.072,25.086,29.978,28.363,31.645,345.0,,,,,,,
lap,5,1'55.301,25.107,30.491,28.273,31.430,343.9,,,,,,,
lap,6,1'54.919,25.012,30.056,28.412,31.439,346.1,,,,,,,
lap,7,1'55.207,25.028,30.092,28.438,31.649,346.1,,,,,,,
lap,8,1'55.355,25.022,30.164,28.655,31.514,346.1,,,,,,,
lap,9,1'55.097,25.115,30.108,28.322,31.552,342.8,,,,,,,
lap,10,1'55.269,25.095,30.142,28.533,31.499,343.9,,,,,,,
lap,11,1'55.556,25.074,30.326,28.499,31.657,348.3,,,,,,,
lap,12,1'55.457,25.109,30.196,28.528,31.624,347.2,,,,,,,
lap,13,1'55.615,25.159,30.176,28.557,31.723,348.3,,,,,,,
lap,14,1'55.634,25.067,30.241,28.583,31.743,347.2,,,,,,,
lap,15,1'55.792,25.159,30.420,28.603,31.610,347.2,,,,,,,
lap,16,1'55.796,25.110,30.220,28.651,31.815,347.2,,,,,,,
lap,17,1'55.381,25.065,30.202,28.584,31.530,349.5,,,,,,,
lap,18,1'55.747,25.125,30.242,28.731,31.649*,348.3,,,,,,,
lap,19,1'55.668,25.159,30.246,28.692,31.571,343.9,,,,,,,
lap,20,1'55.374,24.950,30.121,28.592,31.711,352.9,,,,,,,
lap,21,1'55.063,24.986,29.999,28.447,31.631,352.9,,,,,,,
lap,22,1'55.758,24.994,30.296,28.587,31.881,355.2,,,,,,,
rider,3rd,89,Jorge,MARTIN,DUCATI,SPA,Pramac,Racing,Total,laps=22,laps=21,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'01.455,30.526,30.349,28.819,31.761,199.6,,,,,,,
lap,2,1'55.232,24.985,30.023,28.582,31.642,341.7,,,,,,,
lap,3,1'55.478,25.068,30.039,28.665,31.706,341.7,,,,,,,
lap,4,1'55.052,24.932,29.984,28.514,31.622,341.7,,,,,,,
lap,5,1'55.207,25.009,30.002,28.539,31.657,340.6,,,,,,,
lap,6,1'55.026,24.929,30.067,28.420,31.610,341.7,,,,,,,
lap,7,1'55.173,25.015,29.994,28.502,31.662,342.8,,,,,,,
lap,8,1'55.320,24.993,30.111,28.600,31.616,341.7,,,,,,,
lap,9,1'55.166,24.973,30.063,28.429,31.701,342.8,,,,,,,
lap,10,1'55.261,24.941,30.060,28.587,31.673,342.8,,,,,,,
lap,11,1'55.614,25.029,30.253,28.598,31.734,345.0,,,,,,,
lap,12,1'55.422,25.012,30.090,28.584,31.736,342.8,,,,,,,
lap,13,1'55.557,24.963,30.145,28.713,31.736,343.9,,,,,,,
lap,14,1'55.591,25.005,30.128,28.675,31.783,341.7,,,,,,,
lap,15,1'55.869,25.210,30.196,28.654,31.809,342.8,,,,,,,
lap,16,1'55.623,25.039,30.148,28.668,31.768,343.9,,,,,,,
