0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2021,April 18,MotoGP,Autódromo Internacional do Algarve,WUP,,,,,,,,,
rider,1st,43,Jack,MILLER,DUCATI,AUS,Ducati,Lenovo,Team,Total,laps=8,laps=5,,
run,1,Slick-Soft,Slick-Soft,8,4,,,,,,,,,
lap,1,2'15.865,30.891,36.064,16.235,33.064,,,,,,,,
lap,2,1'40.849,21.175,32.238,15.438,31.998,341.7,,,,,,,
lap,3,1'40.950,20.913,32.030,15.576,32.431,348.3,,,,,,,
lap,4,1'40.478,20.993,31.939,15.344,32.202,346.1,,,,,,,
lap,5,1'59.912,P,21.019,32.808,16.535,49.550,345.0,,,,,,
run,2,Slick-Soft,Slick-Soft,13,4,,,,,,,,,
lap,6,8'05.405,31.659,36.624,19.386,33.731,,,,,,,,
lap,7,1'41.770,22.018,32.186,15.505,32.061,338.5,,,,,,,
lap,8,1'39.721,20.829,31.686,15.256,31.950,343.9,,,,,,,
rider,2nd,20,Fabio,QUARTARARO,YAMAHA,FRA,Monster,Energy,Yamaha,MotoGP,Total,laps=11,laps=8,
run,1,Slick-Medium,Slick-Hard,7,7,,,,,,,,,
lap,1,3'21.812,32.007,35.963,16.880,34.033,,,,,,,,
lap,2,1'42.300,21.550,32.756,15.697,32.297,327.2,,,,,,,
lap,3,1'40.341,20.977,32.105,15.290,31.969,328.2,,,,,,,
lap,4,1'40.111,20.921,31.991,15.292,31.907,329.2,,,,,,,
lap,5,1'40.275,20.901,32.091,15.310,31.973,329.2,,,,,,,
lap,6,1'39.831,20.798,31.891,15.193,31.949,330.2,,,,,,,
lap,7,1'43.801,22.389*,33.410,15.639,32.363,329.2,,,,,,,
lap,8,1'40.093,20.889,32.034,15.227,31.943,330.2,,,,,,,
lap,9,1'40.087,20.901,31.997,15.233,31.956,331.2,,,,,,,
lap,10,1'44.255,23.154*,33.641,15.516,31.944,333.3,,,,,,,
lap,11,1'39.801,20.837,31.899,15.195,31.870,331.2,,,,,,,
rider,3rd,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=12,laps=11,,
run,1,Slick-Medium,Slick-Medium,8,0,,,,,,,,,
