0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2021,May 01,MotoGP,Circuito de Jerez,Q1,,,,,,,,,
rider,1st,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=9,laps=4,,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,,,,
lap,1,1'44.459,28.319,14.692,29.562,30.059,281.9,,,,,,,
lap,2,1'38.202,24.604,14.410,29.392,29.796,283.4,,,,,,,
lap,3,1'42.380,28.739*,14.433,29.343,29.865,285.7,,,,,,,
lap,4,1'37.389,24.334,14.409,29.008,29.638,284.9,,,,,,,
lap,5,1'38.589,P,26.836,15.228,30.610,25.915,272.7,,,,,,
run,2,Slick-Medium,Slick-Soft,5,0,,,,,,,,,
lap,6,1'41.018,27.625,14.508,29.236,29.649,283.4,,,,,,,
lap,7,1'36.916,24.151,14.227,28.879,29.659,284.9,,,,,,,
lap,8,1'37.133,24.269,14.303,28.915,29.646,284.2,,,,,,,
lap,PIT,P,31.082,15.542,30.990,27.514,266.0,,,,,,,
rider,2nd,33,Brad,BINDER,KTM,RSA,Red,Bull,KTM,Factory,Racing,Total,laps=8,laps=5
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'00.542,29.787,14.792,30.014,30.240,282.7,,,,,,,
lap,2,1'37.552,24.269,14.274,29.196,29.813,287.2,,,,,,,
lap,3,1'37.350,24.255,14.303,29.015,29.777,284.2,,,,,,,
lap,4,1'39.682,P,28.095,15.245,29.908,26.434,272.7,,,,,,
run,2,Slick-Medium,Slick-Soft,4,0,,,,,,,,,
lap,5,2'06.474,43.977,15.017,30.862,36.618,278.3,,,,,,,
lap,6,1'38.541,24.588,14.480,29.569,29.904,284.9,,,,,,,
lap,7,1'44.817,30.217,14.298,29.386,30.916,288.7,,,,,,,
lap,8,1'37.397,24.261,14.243,29.029,29.864,287.2,,,,,,,
rider,3rd,44,Pol,ESPARGARO,HONDA,SPA,Repsol,Honda,Team,Total,laps=8,laps=5,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,1'55.577,29.051,14.785,30.378,30.298,284.9,,,,,,,
lap,2,1'37.535,24.340,14.344,29.135,29.716,290.3,,,,,,,
lap,3,1'37.095,P,24.432,14.202,31.670,26.791,291.8,,,,,,
run,2,Slick-Medium,Slick-Soft,3,0,,,,,,,,,
lap,4,1'44.197,28.682,14.900,29.988,30.627,277.6,,,,,,,
lap,5,1'40.071,24.456,14.409,29.500,31.706,286.4,,,,,,,
lap,6,1'37.407,24.222,14.301,29.136,29.748,288.0,,,,,,,
lap,7,1'50.629,24.300,17.627,38.758,29.944,206.1,,,,,,,
lap,8,1'37.469,24.238,14.373,29.147,29.711,285.7,,,,,,,
rider,4th,93,Marc,MARQUEZ,HONDA,SPA,Repsol,Honda,Team,Total,laps=8,laps=3,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'01.794,29.814,14.633,29.815,30.445,288.7,,,,,,,
lap,2,1'37.489,24.250,14.378,29.072,29.789,286.4,,,,,,,
lap,3,1'37.515,24.188,14.352,28.985,29.990,286.4,,,,,,,
lap,4,1'38.696,P,26.442,15.453,30.460,26.341,268.6,,,,,,
run,2,Slick-Soft,Slick-Soft,4,0,,,,,,,,,
lap,5,1'50.667,35.011,14.662,29.865,31.129,284.9,,,,,,,
lap,6,1'59.297,26.868,18.392,36.844,37.193,188.8,,,,,,,
lap,7,1'41.534,24.318,14.353,29.119,33.744*,288.0,,,,,,,
lap,PIT,P,24.259,14.403,29.092,26.198,291.1,,,,,,,
rider,5th,23,Enea,BASTIANINI,DUCATI,ITA,Avintia,Esponsorama,Total,laps=8,laps=5,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,1'50.878,29.113,14.871,30.039,30.264,284.9,,,,,,,
lap,2,1'38.941,24.430,14.426,29.517,30.568,286.4,,,,,,,
lap,3,1'38.036,24.407,14.312,29.327,29.990,288.7,,,,,,,
lap,4,1'36.466,P,25.754,14.715,29.929,26.068,284.9,,,,,,
run,2,Slick-Soft,Slick-Soft,4,0,,,,,,,,,
lap,5,1'49.109,30.278,15.016,30.614,33.201,282.7,,,,,,,
lap,6,1'37.848,24.318,14.335,29.340,29.855,286.4,,,,,,,
lap,7,1'51.963,33.527,15.023,30.358,33.055,248.2,,,,,,,
lap,8,1'37.675,24.476,14.258,29.254,29.687,293.4,,,,,,,
rider,6th,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Factory,Racing,Total,laps=8,laps=3
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,1'53.729,29.699,14.756,30.049,30.170,283.4,,,,,,,
lap,2,1'37.746,24.354,14.389,29.191,29.812,287.2,,,,,,,
lap,3,1'37.810,24.349,14.309,29.313,29.839,288.7,,,,,,,
lap,4,1'38.639,P,26.610,14.863,30.469,26.697,279.7,,,,,,
run,2,Slick-Medium,Slick-Soft,4,0,,,,,,,,,
lap,5,1'49.764,32.256,14.741,29.762,33.005,284.2,,,,,,,
lap,6,1'56.977,26.229,18.264,36.667,35.817,171.1,,,,,,,
lap,7,1'41.818,24.342,14.165,29.315,33.996*,291.1,,,,,,,
lap,8,1'37.372,24.250,14.242,29.224,29.656*,291.1,,,,,,,
rider,7th,46,Valentino,ROSSI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=8,laps=5,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,1'46.034,28.488,14.688,29.852,30.305,281.9,,,,,,,
lap,2,1'38.309,24.480,14.403,29.388,30.038,284.2,,,,,,,
lap,3,1'43.737,24.677,14.485,29.746,34.829,279.7,,,,,,,
