0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2021,May 02,MotoGP,Circuito de Jerez,RACE,,,,,,,,,
rider,1st,43,Jack,MILLER,DUCATI,AUS,Ducati,Lenovo,Team,Total,laps=25,laps=24,,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,,,,
lap,1,1'44.239,30.000,14.539,29.492,30.208,291.1,,,,,,,
lap,2,1'38.709,24.644,14.500,29.419,30.146,291.8,,,,,,,
lap,3,1'38.395,24.579,14.498,29.298,30.020,291.8,,,,,,,
lap,4,1'38.592,24.535,14.524,29.291,30.242,292.6,,,,,,,
lap,5,1'38.314,24.788,14.368,29.292,29.866,295.8,,,,,,,
lap,6,1'37.908,24.451,14.411,29.229,29.817,295.0,,,,,,,
lap,7,1'37.913,24.504,14.342,29.254,29.813,294.2,,,,,,,
lap,8,1'37.958,24.405,14.396,29.272,29.885,295.0,,,,,,,
lap,9,1'38.223,24.596,14.438,29.284,29.905,295.8,,,,,,,
lap,10,1'38.112,24.482,14.470,29.202,29.958,294.2,,,,,,,
lap,11,1'38.066,24.441,14.422,29.227,29.976,295.0,,,,,,,
lap,12,1'38.038,24.425,14.458,29.205,29.950,293.4,,,,,,,
lap,13,1'38.156,24.505,14.385,29.276,29.990,293.4,,,,,,,
lap,14,1'38.318,24.468,14.432,29.389,30.029,294.2,,,,,,,
lap,15,1'38.567,24.537,14.456,29.531,30.043,294.2,,,,,,,
lap,16,1'38.706,24.674,14.555,29.397,30.080,291.8,,,,,,,
lap,17,1'38.381,24.538,14.446,29.362,30.035,295.0,,,,,,,
lap,18,1'38.609,24.577,14.475,29.392,30.165,295.0,,,,,,,
lap,19,1'38.560,24.590,14.526,29.408,30.036,294.2,,,,,,,
lap,20,1'38.475,24.527,14.508,29.367,30.073,292.6,,,,,,,
lap,21,1'38.716,24.550,14.533,29.511,30.122,293.4,,,,,,,
lap,22,1'38.642,24.553,14.501,29.372,30.216,294.2,,,,,,,
lap,23,1'38.728,24.574,14.529,29.377,30.248,294.2,,,,,,,
lap,24,1'38.600,24.521,14.519,29.382,30.178,292.6,,,,,,,
lap,25,1'38.677,24.567,14.553,29.363,30.194,293.4,,,,,,,
rider,2nd,63,Francesco,BAGNAIA,DUCATI,ITA,Ducati,Lenovo,Team,Total,laps=25,laps=24,,
