Year,Date,Track,League,Session_Type,Track_Conditions,Track_Temp,Air_Temp,Humidity
2021,"March,26,2021",Barwa Grand Prix of Qatar - Losail International Circuit,MotoGP,FP1,Dry,26º,28º,54%
2021,"March,26,2021",Barwa Grand Prix of Qatar - Losail International Circuit,MotoGP,FP2,Dry,26º,25º,70%
2021,"March,27,2021",Barwa Grand Prix of Qatar - Losail International Circuit,MotoGP,FP3,Dry,49º,37º,19%
2021,"March,27,2021",Barwa Grand Prix of Qatar - Losail International Circuit,MotoGP,FP4,Dry,31º,27º,51%
2021,"March,27,2021",Barwa Grand Prix of Qatar - Losail International Circuit,MotoGP,Q1,Dry,30º,27º,45%
2021,"March,27,2021",Barwa Grand Prix of Qatar - Losail International Circuit,MotoGP,Q2,Dry,29º,28º,34%
2021,"March,28,2021",Barwa Grand Prix of Qatar - Losail International Circuit,MotoGP,WUP,Dry,33º,25º,41%
2021,"March,28,2021",Barwa Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,Dry,22º,20º,60%
2021,"March,26,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto2,FP1,Dry,26º,33º,31%
2021,"March,26,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto2,FP2,Dry,26º,25º,70%
2021,"March,27,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto2,FP3,Dry,54º,39º,10%
2021,"March,27,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto2,Q1,Dry,33º,28º,46%
2021,"March,27,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto2,Q2,Dry,32º,28º,48%
2021,"March,28,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto2,WUP,Dry,35º,26º,37%
2021,"March,28,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,Dry,23º,21º,56%
2021,"March,26,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto3,FP1,Dry,26º,36º,27%
2021,"March,26,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto3,FP2,Dry,26º,25º,71%
2021,"March,27,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto3,FP3,Dry,54º,38º,11%
2021,"March,27,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto3,Q1,Dry,36º,30º,40%
2021,"March,27,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto3,Q2,Dry,34º,29º,46%
2021,"March,28,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto3,WUP,Dry,36º,25º,39%
2021,"March,28,2021",Barwa Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,Dry,28º,23º,48%
2021,"April,02,2021",TISSOT Grand Prix of Doha - Losail International Circuit,MotoGP,FP1,Dry,47º,37º,20%
2021,"April,02,2021",TISSOT Grand Prix of Doha - Losail International Circuit,MotoGP,FP2,Dry,30º,26º,74%
2021,"April,03,2021",TISSOT Grand Prix of Doha - Losail International Circuit,MotoGP,FP3,Dry,34º,28º,33%
2021,"April,03,2021",TISSOT Grand Prix of Doha - Losail International Circuit,MotoGP,FP4,Dry,25º,23º,44%
2021,"April,03,2021",TISSOT Grand Prix of Doha - Losail International Circuit,MotoGP,Q1,Dry,24º,23º,44%
2021,"April,03,2021",TISSOT Grand Prix of Doha - Losail International Circuit,MotoGP,Q2,Dry,24º,23º,45%
2021,"April,04,2021",TISSOT Grand Prix of Doha - Losail International Circuit,MotoGP,WUP,Dry,35º,26º,33%
2021,"April,04,2021",TISSOT Grand Prix of Doha - Losail International Circuit,MotoGP,RAC,Dry,22º,21º,62%
2021,"April,02,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto2,FP1,Dry,51º,37º,18%
2021,"April,02,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto2,FP2,Dry,31º,26º,69%
2021,"April,03,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto2,FP3,Dry,39º,30º,29%
2021,"April,03,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto2,Q1,Dry,26º,24º,43%
2021,"April,03,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto2,Q2,Dry,25º,23º,43%
2021,"April,04,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto2,WUP,Dry,37º,26º,33%
2021,"April,04,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto2,RAC,Dry,24º,21º,56%
2021,"April,02,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto3,FP1,Dry,52º,38º,16%
2021,"April,02,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto3,FP2,Dry,33º,26º,68%
2021,"April,03,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto3,FP3,Dry,42º,30º,36%
2021,"April,03,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto3,Q1,Dry,28º,25º,38%
2021,"April,03,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto3,Q2,Dry,27º,25º,39%
2021,"April,04,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto3,WUP,Dry,39º,27º,31%
2021,"April,04,2021",TISSOT Grand Prix of Doha - Losail International Circuit,Moto3,RAC,Dry,26º,23º,45%
2021,"April,16,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,MotoGP,FP1,Dry,22º,17º,88%
2021,"April,16,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,MotoGP,FP2,Dry,35º,22º,67%
2021,"April,17,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,MotoGP,FP3,Dry,24º,17º,74%
2021,"April,17,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,MotoGP,FP4,Dry,39º,24º,51%
2021,"April,17,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,MotoGP,Q1,Dry,32º,23º,55%
2021,"April,17,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,MotoGP,Q2,Dry,36º,23º,61%
