,Year,TRK,Track,Category,Session,Date,Track_Condition,Track_Temp,Air_Temp,Humidity,Position,Points,Rider_Number,Rider_Name,Nationality,Team_Name,Bike,Avg_Speed,Time
0,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,1,0,,Valentino ROSSI,ITA,,Yamaha,162.6,43'50.218
1,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,2,0,,Max BIAGGI,ITA,,Honda,162.6,+0.210
2,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,3,0,,Sete GIBERNAU,SPA,,Honda,162.1,+7.255
3,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,4,0,,Alex BARROS,BRA,,Honda,161.4,+18.667
4,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,5,0,,Nicky HAYDEN,USA,,Honda,161.1,+24.094
5,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,6,0,,Loris CAPIROSSI,ITA,,Ducati,161.1,+24.375
6,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,7,0,,Colin EDWARDS,USA,,Honda,160.8,+28.855
7,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,8,0,,Makoto TAMADA,JPN,,Honda,160.3,+36.535
8,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,9,0,,Norick ABE,JPN,,Yamaha,160.3,+36.643
9,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,10,0,,Carlos CHECA,SPA,,Yamaha,160.2,+39.284
10,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,11,0,,Marco MELANDRI,ITA,,Yamaha,159.9,+43.806
11,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,12,0,,Shinya NAKANO,JPN,,Kawasaki,159.9,+43.920
12,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,13,0,,John HOPKINS,USA,,Suzuki,159.2,+56.028
13,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,14,0,,Troy BAYLISS,AUS,,Ducati,159.1,+56.558
14,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,15,0,,Shane BYRNE,GBR,,Aprilia,158.1,+1'13.831
15,2004,RSA,SOUTH AFRICAN GRAND PRIX - Phakisa Freeway,MotoGP,RAC,"April,16,2004",n/a,n/a,n/a,n/a,16,0,,Jeremy McWILLIAMS,GBR,,Aprilia,157.6,+1'22.206
